RENEWAL_ID,POLICY_ID,CUSTOMER_ID,RENEWAL_DUE_DATE,OLD_PREMIUM,NEW_PREMIUM,PREMIUM_INCREASE_PCT,CLAIM_HISTORY_FLAG,LOYALTY_YEARS,RENEWAL_PROBABILITY,RENEWAL_STATUS,CONTACT_CHANNEL,POLICY_TYPE,SALES_CHANNEL,PAYMENT_MODE,SUM_INSURED,ANNUAL_PREMIUM,RISK_SCORE,RISK_BAND,TOTAL_CLAIMS,TOTAL_CLAIM_AMOUNT,AVG_CLAIM_AMOUNT,MAX_CLAIM_AMOUNT,TOTAL_PAYMENTS_x,AVG_PAYMENT_DELAY_x,MAX_PAYMENT_DELAY_x,TOTAL_PAYMENTS_y,AVG_PAYMENT_DELAY_y,MAX_PAYMENT_DELAY_y,TOTAL_PAYMENTS,AVG_PAYMENT_DELAY,MAX_PAYMENT_DELAY,CUSTOMER_SINCE,CUSTOMER_TENURE_YEARS,AGE,GENDER,MARITAL_STATUS,OCCUPATION,ANNUAL_INCOME,STATE,CREDIT_SCORE,CUSTOMER_RISK_SEGMENT,TARGET_RENEWED,TARGET_CHURN
REN00004654,POL000004683,CUST00068704,2025-01-01,19919,20853,4.688990411165219,No,6,0.928,Renewed,Agent Visit,Term Life,Broker,Monthly,4843107,19919,441,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2022-07-19,2.455852156057495,38,Male,Married,Self Employed,293916,Delhi,812,Medium,1,0
REN00009235,POL000028226,CUST00000909,2025-01-01,2303,2631,14.242292661745548,No,1,0.794,Renewed,Call,Travel,Bancassurance,Half-Yearly,959060,2303,452,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2022-12-10,2.0616016427104724,49,Male,Married,Professional,322439,Kerala,693,Low,1,0
REN00014001,POL000083919,CUST00034993,2025-01-01,17016,18877,10.936765397273154,Yes,6,0.8039,Renewed,Call,Motor,Bancassurance,Monthly,667328,17016,387,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2018-07-14,6.469541409993155,26,Male,Married,Salaried,206728,Gujarat,764,Medium,1,0
REN00013440,POL000078165,CUST00024696,2025-01-01,32198,35317,9.68693707683707,No,7,0.9107,Renewed,WhatsApp,Whole Life,Broker,Annual,1851480,32198,447,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2024-12-06,0.07118412046543464,52,Other,Married,Salaried,1366260,Kerala,683,Low,1,0
REN00012005,POL000059929,CUST00027203,2025-01-01,10820,12384,14.4547134935305,No,6,0.8311,Renewed,WhatsApp,Home,Corporate Partner,Monthly,7746936,10820,301,Low,1.0,567014.0,567014.0,567014.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2018-03-21,6.784394250513347,18,Female,Single,Self Employed,264864,Tamil Nadu,667,Low,1,0
REN00010462,POL000063313,CUST00029594,2025-01-01,14028,13022,-7.171371542629028,No,3,0.904,Renewed,Agent Visit,Term Life,Broker,Monthly,4480549,14028,452,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2020-07-28,4.42984257357974,29,Male,Single,Self Employed,586759,Maharashtra,705,Medium,1,0
REN00013790,POL000073897,CUST00069101,2025-01-01,9224,9811,6.363833477883782,No,2,0.896,Renewed,SMS,Motor,Online,Annual,557533,9224,451,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2019-08-05,5.409993155373032,39,Other,Single,Salaried,248941,Maharashtra,669,Medium,1,0
REN00019027,POL000103605,CUST00068613,2025-01-01,13177,13814,4.834180769522653,Yes,5,0.84,Renewed,SMS,Motor,Bancassurance,Monthly,1063558,13177,411,Low,2.0,188649.0,94324.5,101992.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2026-06-04,-1.4209445585215605,39,Male,Single,Business Owner,1681695,Karnataka,781,Medium,1,0
REN00015201,POL000037793,CUST00064150,2025-01-01,60126,62855,4.538801849449489,No,2,0.896,Renewed,Email,Commercial,Online,Monthly,4151630,60126,312,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2024-12-05,0.07392197125256673,50,Female,Single,Salaried,1419620,Karnataka,682,Medium,1,0
REN00012049,POL000125179,CUST00080023,2025-01-01,18871,21250,12.606645116845955,No,8,0.8749,Renewed,Agent Visit,Motor,Online,Monthly,1067468,18871,398,Low,1.0,54036.0,54036.0,54036.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2024-09-04,0.3258042436687201,57,Other,Single,Self Employed,748633,Karnataka,761,Medium,1,0
REN00004255,POL000067322,CUST00050543,2025-01-01,11295,12375,9.56175298804781,No,2,0.8725,Renewed,Agent Visit,Health,Agent,Half-Yearly,587132,11295,413,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2026-06-17,-1.4565366187542779,41,Other,Married,Business Owner,787717,Kerala,767,Low,1,0
