AGENT_ID,AGENT_NAME,AGENT_TYPE,REGION,EXPERIENCE_YEARS,COMMISSION_PCT,POLICIES_SOLD,RENEWAL_RATE_PCT,STATUS,JOIN_DATE
AGT000001,Agent 00001,Broker,West,3,6.97,398,88.87,Active,2024-10-05
AGT000002,Agent 00002,Bank Partner,South,3,1.98,48,90.26,Active,2024-04-27
AGT000003,Agent 00003,Digital Partner,West,2,10.21,199,71.33,Inactive,2020-12-02
AGT000004,Agent 00004,Individual Agent,North,1,10.13,251,84.79,Active,2026-02-06
AGT000005,Agent 00005,Corporate Agent,Central,1,7.11,394,78.15,Active,2019-08-04
AGT000006,Agent 00006,Individual Agent,South,10,10.88,212,94.55,Active,2024-08-19
AGT000007,Agent 00007,Corporate Agent,Central,10,10.19,266,81.19,Active,2020-01-03
AGT000008,Agent 00008,Corporate Agent,South,9,7.35,305,85.59,Active,2015-12-18
AGT000009,Agent 00009,Digital Partner,East,2,8.69,220,88.31,Active,2020-11-05
AGT000010,Agent 00010,Corporate Agent,North,12,10.57,436,82.28,Active,2025-12-16
AGT000011,Agent 00011,Corporate Agent,Central,14,3.18,209,94.17,Active,2023-02-26
AGT000012,Agent 00012,Digital Partner,Central,1,3.29,116,74.77,Active,2020-01-01
AGT000013,Agent 00013,Digital Partner,South,2,1.93,257,75.69,Active,2022-07-19
AGT000014,Agent 00014,Broker,West,14,5.54,286,95.71,Active,2023-12-06
AGT000015,Agent 00015,Individual Agent,East,3,2.76,30,81.21,Active,2023-10-15
AGT000016,Agent 00016,Bank Partner,West,2,5.47,134,76.61,Active,2017-08-24
AGT000017,Agent 00017,Broker,North,4,10.74,180,92.41,Inactive,2016-04-14
AGT000018,Agent 00018,Corporate Agent,East,6,1.43,140,87.22,Active,2023-06-10
AGT000019,Agent 00019,Bank Partner,North,2,1.19,96,76.84,Active,2021-05-01
AGT000020,Agent 00020,Broker,West,11,8.09,415,88.76,Active,2017-01-17
AGT000021,Agent 00021,Individual Agent,West,4,1.75,162,98.92,Inactive,2021-07-06
AGT000022,Agent 00022,Digital Partner,West,4,4.54,440,76.65,Active,2016-04-17
AGT000023,Agent 00023,Corporate Agent,Central,9,11.9,477,84.68,Active,2015-11-19
AGT000024,Agent 00024,Broker,South,8,2.08,354,79.42,Active,2026-04-24
AGT000025,Agent 00025,Individual Agent,West,7,8.89,359,96.41,Inactive,2019-05-03
AGT000026,Agent 00026,Bank Partner,East,9,2.98,273,95.59,Inactive,2022-12-30
AGT000027,Agent 00027,Corporate Agent,South,8,10.44,404,84.89,Active,2026-05-29
AGT000028,Agent 00028,Individual Agent,East,14,10.73,457,85.08,Active,2015-10-17
AGT000029,Agent 00029,Digital Partner,Central,3,3.85,478,94.34,Inactive,2015-01-08
AGT000030,Agent 00030,Digital Partner,North,6,5.69,173,87.05,Active,2016-02-25
AGT000031,Agent 00031,Broker,West,9,7.9,461,75.96,Active,2023-01-01
AGT000032,Agent 00032,Individual Agent,Central,1,7.5,30,77.9,Active,2015-03-11
AGT000033,Agent 00033,Bank Partner,Central,5,7.24,302,75.47,Active,2023-06-28
AGT000034,Agent 00034,Bank Partner,West,5,4.84,382,75.98,Active,2018-11-30
AGT000035,Agent 00035,Corporate Agent,West,3,1.25,345,75.41,Active,2025-07-01
AGT000036,Agent 00036,Individual Agent,West,3,10.22,77,76.41,Active,2026-02-01
AGT000037,Agent 00037,Individual Agent,North,1,11.54,271,91.2,Active,2022-03-18
AGT000038,Agent 00038,Broker,South,14,10.14,239,73.12,Active,2023-04-07
AGT000039,Agent 00039,Corporate Agent,South,9,10.86,376,95.93,Inactive,2025-02-23
AGT000040,Agent 00040,Individual Agent,East,2,2.54,349,95.03,Active,2021-08-16
AGT000041,Agent 00041,Corporate Agent,South,7,2.78,454,89.82,Inactive,2020-07-19
AGT000042,Agent 00042,Bank Partner,Central,7,10.7,376,79.31,Active,2018-07-04
AGT000043,Agent 00043,Broker,South,5,1.56,466,78.4,Active,2021-10-22
AGT000044,Agent 00044,Individual Agent,West,13,1.65,290,88.86,Active,2022-09-27
AGT000045,Agent 00045,Individual Agent,Central,11,8.77,247,81.7,Inactive,2020-03-07
AGT000046,Agent 00046,Corporate Agent,Central,15,6.94,330,79.31,Active,2018-10-08
AGT000047,Agent 00047,Individual Agent,West,15,3.35,472,92.32,Active,2017-12-11
AGT000048,Agent 00048,Broker,North,5,9.06,370,76.39,Active,2023-03-14
AGT000049,Agent 00049,Corporate Agent,South,8,10.01,285,97.84,Active,2015-09-11
AGT000050,Agent 00050,Individual Agent,North,15,2.64,292,74.02,Active,2019-11-22
AGT000051,Agent 00051,Digital Partner,East,10,4.25,386,73.46,Active,2022-03-02
AGT000052,Agent 00052,Digital Partner,East,7,1.23,452,74.93,Active,2023-08-31
AGT000053,Agent 00053,Broker,East,2,4.37,132,83.12,Active,2017-09-13
AGT000054,Agent 00054,Individual Agent,Central,7,6.8,74,70.2,Active,2023-12-15
AGT000055,Agent 00055,Bank Partner,Central,3,4.88,493,71.9,Active,2019-12-04
AGT000056,Agent 00056,Corporate Agent,South,8,1.28,330,93.22,Active,2023-07-11
AGT000057,Agent 00057,Broker,Central,2,10.41,352,84.71,Active,2021-05-09
AGT000058,Agent 00058,Broker,East,9,5.05,326,98.18,Inactive,2015-07-06
AGT000059,Agent 00059,Individual Agent,West,2,7.86,117,96.56,Active,2023-11-07
AGT000060,Agent 00060,Bank Partner,South,13,7.17,154,81.34,Active,2024-09-03
AGT000061,Agent 00061,Bank Partner,North,13,7.91,222,81.82,Active,2019-01-13
AGT000062,Agent 00062,Digital Partner,North,10,6.48,175,83.89,Active,2017-09-24
AGT000063,Agent 00063,Corporate Agent,South,7,1.26,342,94.17,Active,2021-07-20
AGT000064,Agent 00064,Individual Agent,East,11,11.57,485,70.63,Active,2018-01-23
AGT000065,Agent 00065,Bank Partner,North,10,3.29,447,73.24,Active,2016-08-29
AGT000066,Agent 00066,Bank Partner,East,9,3.41,70,91.86,Active,2019-06-05
AGT000067,Agent 00067,Bank Partner,North,11,1.39,381,70.43,Active,2021-08-19
AGT000068,Agent 00068,Corporate Agent,West,9,11.84,212,75.52,Active,2024-11-06
AGT000069,Agent 00069,Individual Agent,South,4,10.52,255,89.85,Active,2015-07-16
AGT000070,Agent 00070,Corporate Agent,West,15,1.49,44,71.91,Active,2021-08-02
AGT000071,Agent 00071,Individual Agent,South,15,10.12,104,95.58,Active,2024-10-22
AGT000072,Agent 00072,Corporate Agent,South,3,8.1,384,97.61,Active,2022-07-24
AGT000073,Agent 00073,Corporate Agent,West,6,1.42,305,76.11,Active,2024-09-29
AGT000074,Agent 00074,Bank Partner,North,9,5.77,96,78.24,Active,2024-08-26
AGT000075,Agent 00075,Digital Partner,West,6,7.96,259,81.36,Active,2024-10-23
AGT000076,Agent 00076,Individual Agent,West,2,8.71,438,82.72,Active,2016-12-08
AGT000077,Agent 00077,Digital Partner,East,11,8.77,456,85.44,Active,2016-04-09
AGT000078,Agent 00078,Bank Partner,East,7,9.6,435,70.01,Active,2017-03-04
