CLAIM_ID,POLICY_ID,CUSTOMER_ID,CLAIM_TYPE,INCIDENT_DATE,REPORTED_DATE,CLAIM_AMOUNT,CLAIM_STATUS,SETTLEMENT_AMOUNT,PROCESSING_DAYS,FRAUD_FLAG,FRAUD_SCORE,SOURCE,CLAIM_SEVERITY
CLM000000001,POL000041446,CUST00025025,Vehicle Damage,2022-03-22,2022-03-24,1048663,Approved,1047821,30,No,0.1639,Surveyor,Medium
CLM000000002,POL000087254,CUST00082211,Theft,2026-06-26,2026-07-03,6584,Under Investigation,0,33,No,0.2701,Garage,Low
CLM000000003,POL000058180,CUST00020965,Death,2024-05-12,2024-05-18,109923,Approved,103624,18,No,0.2997,Surveyor,Low
CLM000000004,POL000105789,CUST00014259,Liability,2025-12-14,2025-12-20,276770,Approved,251398,12,No,0.8973,Hospital,Low
CLM000000005,POL000117667,CUST00067498,Travel Disruption,2022-11-18,2022-11-19,39463,Approved,39286,14,No,0.2776,Police,Medium
CLM000000006,POL000038311,CUST00094019,Vehicle Damage,2022-10-12,2022-10-20,27189,Pending,0,24,No,0.2712,Surveyor,High
CLM000000007,POL000108674,CUST00097809,Death,2023-06-15,2023-06-18,48581,Approved,46152,10,No,0.7508,Hospital,Low
CLM000000008,POL000088837,CUST00082550,Liability,2022-06-03,2022-06-07,124645,Rejected,0,19,No,0.9719,Hospital,Low
CLM000000009,POL000125118,CUST00027291,Death,2025-04-16,2025-04-17,25092,Under Investigation,0,17,No,0.3932,Police,Low
CLM000000010,POL000022434,CUST00073269,Liability,2026-01-31,2026-02-12,429391,Approved,397040,18,No,0.2025,Hospital,Low
CLM000000011,POL000067669,CUST00054254,Property Damage,2026-01-26,2026-02-01,316618,Approved,315432,30,No,0.7197,Police,Low
CLM000000012,POL000038788,CUST00095626,Death,2023-10-08,2023-10-17,706939,Rejected,0,51,No,0.6523,Garage,Low
CLM000000013,POL000085876,CUST00084466,Death,2026-02-12,2026-02-15,13766,Approved,13191,25,No,0.8067,Police,Low
CLM000000014,POL000005833,CUST00080504,Travel Disruption,2023-05-26,2023-05-28,109520,Under Investigation,0,24,No,0.7609,Garage,Medium
CLM000000015,POL000101150,CUST00091257,Property Damage,2022-09-22,2022-09-23,1635632,Approved,1438459,35,No,0.6736,Surveyor,Low
CLM000000016,POL000066014,CUST00018131,Theft,2023-10-01,2023-10-05,597958,Approved,486616,25,No,0.783,Hospital,Medium
CLM000000017,POL000071560,CUST00008244,Vehicle Damage,2024-04-08,2024-04-13,340338,Approved,305234,26,No,0.4376,Police,Low
CLM000000018,POL000057519,CUST00069118,Liability,2025-12-09,2025-12-13,35091,Approved,33373,22,No,0.8673,Surveyor,Medium
CLM000000019,POL000136883,CUST00049550,Property Damage,2023-12-26,2024-01-04,71753,Approved,69411,14,No,0.2351,Hospital,Low
CLM000000020,POL000000445,CUST00056153,Death,2025-03-21,2025-03-27,47597,Under Investigation,0,18,No,0.6888,Third Party,Low
CLM000000021,POL000068075,CUST00047968,Liability,2025-03-04,2025-03-06,389837,Partially Approved,215925,5,No,0.7997,Surveyor,Low
CLM000000022,POL000145551,CUST00007447,Theft,2026-01-07,2026-01-14,41496,Approved,37264,11,No,0.3649,Police,Low
CLM000000023,POL000089861,CUST00054259,Theft,2024-03-27,2024-03-31,89255,Approved,77800,9,No,0.64,Hospital,Medium
CLM000000024,POL000083678,CUST00089521,Death,2023-08-11,2023-08-15,10917,Approved,10865,20,No,0.8406,Police,Medium
CLM000000025,POL000003885,CUST00094463,Hospitalization,2022-11-02,2022-11-06,327922,Rejected,0,28,Suspected,0.2527,Police,Medium
CLM000000026,POL000104390,CUST00073131,Accident,2024-12-10,2024-12-18,32399,Approved,26870,31,No,0.0472,Hospital,Low
CLM000000027,POL000096352,CUST00033068,Theft,2026-01-16,2026-01-24,226336,Pending,0,13,No,0.0215,Hospital,Low
CLM000000028,POL000138842,CUST00083543,Vehicle Damage,2025-09-02,2025-09-10,739154,Under Investigation,0,33,No,0.8245,Garage,Medium
CLM000000029,POL000137556,CUST00044694,Liability,2023-03-08,2023-03-08,1266291,Approved,1013783,3,No,0.4815,Hospital,Low
CLM000000030,POL000037170,CUST00016801,Theft,2025-12-11,2025-12-24,33119,Approved,27200,37,No,0.004,Garage,Low
CLM000000031,POL000120232,CUST00019943,Accident,2022-03-18,2022-03-27,59469,Approved,55628,43,No,0.1899,Garage,Medium
CLM000000032,POL000049062,CUST00066165,Property Damage,2024-01-01,2024-01-08,386674,Partially Approved,256984,46,No,0.6876,Police,Low
CLM000000033,POL000105497,CUST00088604,Liability,2025-09-06,2025-09-07,80722,Pending,0,13,No,0.5892,Hospital,Medium
CLM000000034,POL000059936,CUST00068287,Liability,2026-02-21,2026-02-25,151652,Approved,149216,10,No,0.7143,Surveyor,Medium
CLM000000035,POL000039841,CUST00074061,Hospitalization,2024-07-10,2024-07-14,3330797,Pending,0,23,No,0.7371,Garage,Low
CLM000000036,POL000096559,CUST00034858,Travel Disruption,2023-10-18,2023-10-23,43620,Approved,37124,15,No,0.5591,Customer,Low
