CUSTOMER_ID,CUSTOMER_NAME,AGE,GENDER,MARITAL_STATUS,OCCUPATION,ANNUAL_INCOME,STATE,CITY,CREDIT_SCORE,CUSTOMER_RISK_SEGMENT,CUSTOMER_SINCE
CUST00000001,INS-CUSTOMER-000001,62,Other,Married,Retired,380568,Uttar Pradesh,Kanpur,652,Medium,2018-04-24
CUST00000002,INS-CUSTOMER-000002,32,Female,Single,Salaried,120000,West Bengal,Kolkata,686,Low,2026-06-22
CUST00000003,INS-CUSTOMER-000003,45,Female,Married,Self Employed,706162,Odisha,Bhubaneswar,756,Low,2021-09-25
CUST00000004,INS-CUSTOMER-000004,25,Female,Married,Self Employed,557262,Rajasthan,Jodhpur,799,Low,2026-02-25
CUST00000005,INS-CUSTOMER-000005,38,Other,Married,Salaried,709830,Tamil Nadu,Salem,814,Medium,2021-08-16
CUST00000006,INS-CUSTOMER-000006,21,Female,Married,Business Owner,642160,Tamil Nadu,Salem,888,Medium,2018-10-18
CUST00000007,INS-CUSTOMER-000007,20,Male,Married,Government Employee,425935,Tamil Nadu,Salem,764,Low,2026-05-15
CUST00000008,INS-CUSTOMER-000008,27,Other,Single,Business Owner,392232,Gujarat,Vadodara,713,Medium,2024-11-14
CUST00000009,INS-CUSTOMER-000009,52,Male,Married,Salaried,646481,Odisha,Bhubaneswar,718,Low,2024-06-05
CUST00000010,INS-CUSTOMER-000010,41,Female,Married,Professional,533023,Karnataka,Mangaluru,757,Medium,2020-12-20
CUST00000011,INS-CUSTOMER-000011,44,Other,Single,Self Employed,204496,Tamil Nadu,Coimbatore,724,Low,2023-08-22
CUST00000012,INS-CUSTOMER-000012,33,Male,Married,Salaried,320104,Gujarat,Surat,797,Low,2026-06-07
CUST00000013,INS-CUSTOMER-000013,31,Other,Divorced,Business Owner,205946,Karnataka,Mysuru,689,Medium,2020-06-26
CUST00000014,INS-CUSTOMER-000014,37,Other,Married,Salaried,258691,Karnataka,Bengaluru,793,High,2023-11-15
CUST00000015,INS-CUSTOMER-000015,33,Female,Married,Business Owner,424883,Maharashtra,Nashik,703,Medium,2022-07-29
CUST00000016,INS-CUSTOMER-000016,38,Female,Married,Salaried,648614,Maharashtra,Nagpur,793,Low,2018-02-15
CUST00000017,INS-CUSTOMER-000017,48,Other,Single,Business Owner,1383639,Tamil Nadu,Coimbatore,864,High,2018-10-11
CUST00000018,INS-CUSTOMER-000018,41,Other,Married,Professional,282985,Kerala,Thiruvananthapuram,748,Low,2026-06-25
CUST00000019,INS-CUSTOMER-000019,21,Female,Married,Business Owner,2021173,Tamil Nadu,Madurai,629,Medium,2026-07-20
CUST00000020,INS-CUSTOMER-000020,45,Male,Single,Business Owner,837122,Maharashtra,Nashik,597,Medium,2025-06-23
CUST00000021,INS-CUSTOMER-000021,33,Male,Married,Professional,317900,Odisha,Rourkela,782,Medium,2021-05-24
CUST00000022,INS-CUSTOMER-000022,36,Other,Married,Salaried,2653447,West Bengal,Kolkata,769,Medium,2020-07-14
CUST00000023,INS-CUSTOMER-000023,22,Other,Married,Business Owner,466784,Tamil Nadu,Madurai,729,Medium,2025-08-05
CUST00000024,INS-CUSTOMER-000024,43,Male,Single,Salaried,1293527,Karnataka,Hubballi,755,Medium,2021-11-22
CUST00000025,INS-CUSTOMER-000025,36,Female,Single,Self Employed,411071,West Bengal,Kolkata,613,Low,2024-03-12
CUST00000026,INS-CUSTOMER-000026,32,Male,Single,Salaried,628352,West Bengal,Kolkata,738,Low,2023-07-06
CUST00000027,INS-CUSTOMER-000027,26,Female,Single,Government Employee,675141,Uttar Pradesh,Lucknow,593,Medium,2018-02-28
CUST00000028,INS-CUSTOMER-000028,26,Female,Married,Professional,176720,Kerala,Kozhikode,830,Medium,2019-06-25
CUST00000029,INS-CUSTOMER-000029,35,Other,Single,Government Employee,1157762,Karnataka,Mysuru,710,Low,2023-09-25
CUST00000030,INS-CUSTOMER-000030,26,Male,Single,Business Owner,620161,Tamil Nadu,Coimbatore,747,Medium,2020-01-06
CUST00000031,INS-CUSTOMER-000031,22,Female,Single,Business Owner,481313,Tamil Nadu,Salem,538,High,2020-08-29
CUST00000032,INS-CUSTOMER-000032,19,Female,Single,Government Employee,365768,Rajasthan,Jaipur,755,Medium,2023-01-22
CUST00000033,INS-CUSTOMER-000033,21,Male,Married,Salaried,257044,Tamil Nadu,Chennai,717,Low,2026-07-27
CUST00000034,INS-CUSTOMER-000034,54,Other,Married,Salaried,151037,Karnataka,Bengaluru,661,Medium,2021-06-30
CUST00000035,INS-CUSTOMER-000035,47,Male,Married,Self Employed,558682,West Bengal,Howrah,845,Low,2024-07-07
CUST00000036,INS-CUSTOMER-000036,48,Female,Married,Professional,262684,West Bengal,Kolkata,701,Medium,2025-12-25
CUST00000037,INS-CUSTOMER-000037,49,Female,Married,Salaried,669534,Odisha,Rourkela,767,Low,2019-05-24
CUST00000038,INS-CUSTOMER-000038,66,Female,Single,Salaried,443468,Odisha,Bhubaneswar,828,Low,2025-12-27
CUST00000039,INS-CUSTOMER-000039,39,Other,Married,Self Employed,244816,Kerala,Kochi,615,High,2026-05-27
CUST00000040,INS-CUSTOMER-000040,47,Other,Single,Salaried,642365,Odisha,Puri,695,High,2018-07-24
CUST00000041,INS-CUSTOMER-000041,41,Other,Married,Self Employed,472137,Telangana,Warangal,766,Low,2024-05-29
CUST00000042,INS-CUSTOMER-000042,32,Other,Single,Retired,453916,West Bengal,Durgapur,709,Low,2021-07-01
CUST00000043,INS-CUSTOMER-000043,49,Male,Married,Self Employed,1041564,Kerala,Thrissur,733,Low,2019-03-22
CUST00000044,INS-CUSTOMER-000044,34,Female,Married,Salaried,2021797,Tamil Nadu,Chennai,676,Medium,2026-07-02
CUST00000045,INS-CUSTOMER-000045,20,Other,Married,Professional,1035900,Maharashtra,Nagpur,858,Medium,2025-01-25
CUST00000046,INS-CUSTOMER-000046,37,Female,Single,Professional,1398970,Rajasthan,Udaipur,736,Low,2019-03-31
CUST00000047,INS-CUSTOMER-000047,37,Male,Married,Government Employee,1742859,Tamil Nadu,Salem,730,Medium,2022-09-21
CUST00000048,INS-CUSTOMER-000048,71,Other,Married,Government Employee,583392,Rajasthan,Kota,685,Low,2019-10-01
CUST00000049,INS-CUSTOMER-000049,51,Male,Married,Retired,598257,Kerala,Kochi,658,High,2019-01-10
CUST00000050,INS-CUSTOMER-000050,34,Female,Married,Business Owner,888530,West Bengal,Durgapur,560,Medium,2022-01-24
CUST00000051,INS-CUSTOMER-000051,19,Female,Married,Salaried,313785,West Bengal,Howrah,739,Medium,2023-11-22
CUST00000052,INS-CUSTOMER-000052,35,Female,Single,Retired,614532,Uttar Pradesh,Varanasi,675,Low,2019-02-13
CUST00000053,INS-CUSTOMER-000053,19,Other,Married,Salaried,1109359,Karnataka,Mangaluru,729,Low,2025-11-12
CUST00000054,INS-CUSTOMER-000054,37,Male,Married,Business Owner,320086,Odisha,Cuttack,666,High,2023-12-03
CUST00000055,INS-CUSTOMER-000055,35,Male,Married,Salaried,905756,Delhi,New Delhi,772,Medium,2024-05-25
CUST00000056,INS-CUSTOMER-000056,18,Female,Married,Salaried,464730,Maharashtra,Nashik,791,Low,2023-03-08
CUST00000057,INS-CUSTOMER-000057,22,Male,Married,Salaried,494705,Odisha,Rourkela,755,Medium,2024-05-28
CUST00000058,INS-CUSTOMER-000058,44,Other,Single,Business Owner,932210,Kerala,Thiruvananthapuram,635,Medium,2021-07-01
CUST00000059,INS-CUSTOMER-000059,45,Other,Single,Business Owner,325035,Kerala,Thiruvananthapuram,789,Low,2021-08-16
CUST00000060,INS-CUSTOMER-000060,38,Other,Married,Salaried,201832,Tamil Nadu,Coimbatore,768,Low,2023-01-03
CUST00000061,INS-CUSTOMER-000061,56,Male,Divorced,Business Owner,747365,Karnataka,Mangaluru,712,Medium,2023-09-12
CUST00000062,INS-CUSTOMER-000062,42,Male,Married,Salaried,638317,Uttar Pradesh,Kanpur,826,High,2021-03-23
CUST00000063,INS-CUSTOMER-000063,29,Female,Married,Salaried,381407,Delhi,New Delhi,690,Low,2022-07-09
CUST00000064,INS-CUSTOMER-000064,57,Other,Married,Self Employed,1028629,Gujarat,Vadodara,656,Low,2026-08-04
CUST00000065,INS-CUSTOMER-000065,34,Male,Married,Salaried,524892,Kerala,Kochi,752,Low,2018-01-10
CUST00000066,INS-CUSTOMER-000066,29,Female,Married,Salaried,1667338,Tamil Nadu,Salem,730,Medium,2025-05-27
CUST00000067,INS-CUSTOMER-000067,42,Male,Married,Retired,1128179,Gujarat,Rajkot,753,Low,2020-10-04
CUST00000068,INS-CUSTOMER-000068,55,Other,Married,Salaried,381973,Delhi,New Delhi,617,High,2021-03-30
CUST00000069,INS-CUSTOMER-000069,55,Other,Married,Salaried,446387,Maharashtra,Nagpur,773,Low,2025-09-20
CUST00000070,INS-CUSTOMER-000070,44,Male,Married,Retired,665684,Maharashtra,Nagpur,900,Low,2021-03-24
CUST00000071,INS-CUSTOMER-000071,19,Male,Widowed,Salaried,343899,Rajasthan,Jodhpur,730,Low,2021-11-01
CUST00000072,INS-CUSTOMER-000072,42,Other,Married,Self Employed,608331,Tamil Nadu,Chennai,708,Medium,2022-01-10
CUST00000073,INS-CUSTOMER-000073,33,Female,Single,Self Employed,2516312,Karnataka,Hubballi,705,Low,2023-11-19
CUST00000074,INS-CUSTOMER-000074,46,Female,Married,Retired,408450,Tamil Nadu,Chennai,716,Low,2024-06-23
CUST00000075,INS-CUSTOMER-000075,22,Male,Single,Salaried,597196,West Bengal,Siliguri,861,Low,2019-07-28
CUST00000076,INS-CUSTOMER-000076,49,Female,Married,Self Employed,486133,Karnataka,Hubballi,595,High,2019-01-12
CUST00000077,INS-CUSTOMER-000077,45,Male,Divorced,Salaried,173112,Gujarat,Ahmedabad,676,Low,2021-01-31
CUST00000078,INS-CUSTOMER-000078,52,Male,Married,Business Owner,485565,Kerala,Thrissur,742,Low,2018-07-10
CUST00000079,INS-CUSTOMER-000079,29,Other,Married,Retired,1396428,Odisha,Puri,723,High,2021-07-20
CUST00000080,INS-CUSTOMER-000080,40,Male,Married,Salaried,462238,Gujarat,Vadodara,756,Low,2025-03-12
CUST00000081,INS-CUSTOMER-000081,31,Female,Single,Salaried,383354,Telangana,Warangal,676,Low,2022-05-26
CUST00000082,INS-CUSTOMER-000082,47,Male,Married,Salaried,1272218,Rajasthan,Jodhpur,817,Medium,2021-02-19
CUST00000083,INS-CUSTOMER-000083,27,Male,Single,Self Employed,233041,Delhi,New Delhi,780,Medium,2022-09-12
CUST00000084,INS-CUSTOMER-000084,47,Male,Single,Government Employee,859221,Delhi,Saket,641,Low,2021-05-28
CUST00000085,INS-CUSTOMER-000085,57,Male,Married,Salaried,1172076,West Bengal,Siliguri,640,High,2022-07-27
CUST00000086,INS-CUSTOMER-000086,31,Other,Single,Self Employed,604837,Gujarat,Ahmedabad,786,Medium,2026-07-10
CUST00000087,INS-CUSTOMER-000087,40,Other,Married,Salaried,1297646,Karnataka,Mangaluru,726,Medium,2021-09-04
CUST00000088,INS-CUSTOMER-000088,18,Male,Married,Professional,225234,Kerala,Kozhikode,719,Medium,2018-07-18
CUST00000089,INS-CUSTOMER-000089,23,Other,Single,Salaried,344145,Tamil Nadu,Chennai,747,High,2023-07-26
CUST00000090,INS-CUSTOMER-000090,39,Other,Married,Retired,692350,Telangana,Nizamabad,786,Low,2020-11-15
CUST00000091,INS-CUSTOMER-000091,49,Female,Married,Retired,712658,Delhi,New Delhi,787,Low,2019-08-07
CUST00000092,INS-CUSTOMER-000092,41,Male,Married,Salaried,755899,Gujarat,Ahmedabad,868,Medium,2024-11-17
CUST00000093,INS-CUSTOMER-000093,38,Male,Single,Government Employee,425134,Delhi,New Delhi,649,High,2020-01-29
CUST00000094,INS-CUSTOMER-000094,40,Other,Married,Self Employed,1106131,Rajasthan,Kota,696,Low,2025-10-19
CUST00000095,INS-CUSTOMER-000095,26,Other,Single,Professional,294043,Telangana,Karimnagar,770,Low,2021-05-16
CUST00000096,INS-CUSTOMER-000096,58,Female,Single,Salaried,463190,Karnataka,Mysuru,716,High,2023-01-04
CUST00000097,INS-CUSTOMER-000097,62,Male,Single,Salaried,1489144,West Bengal,Siliguri,688,Low,2018-03-16
CUST00000098,INS-CUSTOMER-000098,29,Female,Married,Salaried,993065,Tamil Nadu,Salem,739,Low,2022-02-18
CUST00000099,INS-CUSTOMER-000099,18,Male,Single,Government Employee,470668,Maharashtra,Pune,708,Medium,2019-04-21
CUST00000100,INS-CUSTOMER-000100,32,Male,Single,Salaried,347436,Tamil Nadu,Coimbatore,680,Medium,2020-04-01
CUST00000101,INS-CUSTOMER-000101,57,Female,Married,Professional,698853,Tamil Nadu,Coimbatore,599,High,2025-08-27
CUST00000102,INS-CUSTOMER-000102,47,Male,Married,Self Employed,401513,Rajasthan,Jaipur,738,Low,2023-07-15
CUST00000103,INS-CUSTOMER-000103,48,Other,Widowed,Salaried,890790,Karnataka,Mysuru,614,Medium,2023-08-25
CUST00000104,INS-CUSTOMER-000104,36,Other,Single,Business Owner,1183713,Gujarat,Surat,656,Low,2026-01-22
CUST00000105,INS-CUSTOMER-000105,28,Other,Single,Salaried,414960,Karnataka,Hubballi,786,Medium,2023-06-08
CUST00000106,INS-CUSTOMER-000106,64,Other,Single,Professional,759333,Maharashtra,Pune,717,Low,2022-07-22
CUST00000107,INS-CUSTOMER-000107,52,Other,Married,Salaried,443012,Maharashtra,Pune,688,Low,2020-03-06
CUST00000108,INS-CUSTOMER-000108,35,Male,Single,Salaried,890961,Kerala,Thrissur,767,Low,2018-01-09
CUST00000109,INS-CUSTOMER-000109,23,Other,Married,Business Owner,387544,Telangana,Hyderabad,712,High,2024-05-11
CUST00000110,INS-CUSTOMER-000110,47,Other,Single,Self Employed,393711,Telangana,Warangal,721,Low,2020-05-20
CUST00000111,INS-CUSTOMER-000111,41,Male,Single,Salaried,856383,Odisha,Puri,708,Low,2026-08-14
CUST00000112,INS-CUSTOMER-000112,51,Male,Married,Self Employed,539744,West Bengal,Durgapur,726,Medium,2020-04-25
CUST00000113,INS-CUSTOMER-000113,34,Female,Single,Salaried,297878,West Bengal,Howrah,770,High,2021-02-16
CUST00000114,INS-CUSTOMER-000114,43,Other,Single,Salaried,504710,Odisha,Bhubaneswar,666,Low,2018-08-26
CUST00000115,INS-CUSTOMER-000115,21,Male,Married,Government Employee,481841,Gujarat,Surat,623,Low,2018-07-13
CUST00000116,INS-CUSTOMER-000116,21,Male,Single,Government Employee,4185332,Karnataka,Bengaluru,654,Medium,2021-04-25
CUST00000117,INS-CUSTOMER-000117,46,Female,Single,Professional,825435,Telangana,Karimnagar,714,High,2025-09-04
CUST00000118,INS-CUSTOMER-000118,32,Male,Married,Salaried,345487,Telangana,Hyderabad,767,Medium,2026-04-09
CUST00000119,INS-CUSTOMER-000119,21,Male,Single,Salaried,588727,Uttar Pradesh,Kanpur,652,Low,2026-07-09
CUST00000120,INS-CUSTOMER-000120,63,Male,Married,Retired,360067,Delhi,Rohini,789,Low,2022-08-15
CUST00000121,INS-CUSTOMER-000121,26,Male,Married,Government Employee,1297041,Delhi,Rohini,866,Low,2024-08-19
CUST00000122,INS-CUSTOMER-000122,33,Female,Married,Business Owner,620089,Tamil Nadu,Salem,762,Medium,2018-06-16
CUST00000123,INS-CUSTOMER-000123,50,Other,Married,Salaried,752905,West Bengal,Kolkata,714,Medium,2025-09-10
CUST00000124,INS-CUSTOMER-000124,39,Male,Married,Professional,283554,Kerala,Kozhikode,726,Medium,2023-12-30
CUST00000125,INS-CUSTOMER-000125,40,Female,Single,Government Employee,978560,Rajasthan,Udaipur,660,Low,2022-03-01
CUST00000126,INS-CUSTOMER-000126,36,Female,Married,Business Owner,464211,Odisha,Rourkela,788,Low,2018-11-29
CUST00000127,INS-CUSTOMER-000127,48,Female,Single,Salaried,1649256,Maharashtra,Mumbai,726,Low,2022-04-08
CUST00000128,INS-CUSTOMER-000128,33,Other,Single,Salaried,839858,Rajasthan,Jaipur,688,Low,2020-04-03
CUST00000129,INS-CUSTOMER-000129,36,Male,Widowed,Self Employed,218864,Delhi,Dwarka,650,Low,2019-02-27
CUST00000130,INS-CUSTOMER-000130,52,Female,Married,Self Employed,602607,Tamil Nadu,Coimbatore,652,Medium,2021-02-28
CUST00000131,INS-CUSTOMER-000131,29,Other,Married,Business Owner,509339,West Bengal,Kolkata,757,Medium,2024-02-14
CUST00000132,INS-CUSTOMER-000132,42,Male,Married,Salaried,409029,West Bengal,Kolkata,691,Low,2018-11-28
CUST00000133,INS-CUSTOMER-000133,46,Female,Married,Professional,594537,Telangana,Karimnagar,718,Medium,2023-04-29
CUST00000134,INS-CUSTOMER-000134,24,Male,Married,Business Owner,549042,Kerala,Kochi,748,Low,2020-10-15
CUST00000135,INS-CUSTOMER-000135,23,Female,Married,Business Owner,1728162,Karnataka,Hubballi,747,Medium,2024-01-01
CUST00000136,INS-CUSTOMER-000136,43,Other,Single,Salaried,646290,Kerala,Thrissur,713,Medium,2019-11-06
CUST00000137,INS-CUSTOMER-000137,44,Other,Married,Salaried,955462,West Bengal,Siliguri,664,Low,2021-02-16
CUST00000138,INS-CUSTOMER-000138,52,Female,Single,Salaried,1766046,West Bengal,Siliguri,652,Medium,2023-03-10
CUST00000139,INS-CUSTOMER-000139,37,Female,Married,Self Employed,444368,West Bengal,Siliguri,737,Low,2023-03-29
CUST00000140,INS-CUSTOMER-000140,29,Male,Single,Professional,757408,West Bengal,Kolkata,732,Medium,2025-09-21
CUST00000141,INS-CUSTOMER-000141,41,Female,Single,Government Employee,529679,Uttar Pradesh,Noida,744,Medium,2026-06-06
CUST00000142,INS-CUSTOMER-000142,26,Other,Single,Salaried,339730,Uttar Pradesh,Lucknow,708,Low,2018-02-24
CUST00000143,INS-CUSTOMER-000143,39,Male,Married,Professional,982392,Uttar Pradesh,Varanasi,614,Medium,2020-07-21
CUST00000144,INS-CUSTOMER-000144,52,Female,Married,Self Employed,662147,Uttar Pradesh,Lucknow,869,Medium,2026-06-02
