POLICY_ID,CUSTOMER_ID,POLICY_TYPE,SALES_CHANNEL,AGENT_ID,POLICY_START_DATE,POLICY_END_DATE,SUM_INSURED,ANNUAL_PREMIUM,PAYMENT_MODE,RISK_SCORE,RISK_BAND,POLICY_STATUS,DISCOUNT_PCT,COMMISSION_PCT
POL000000001,CUST00047547,Motor,Corporate Partner,AGT004657,2022-06-14,2042-06-09,485748,11289,Annual,434,Low,Active,11.93,4.53
POL000000002,CUST00065458,Motor,Corporate Partner,AGT000403,2020-10-02,2021-10-02,496150,13822,Monthly,284,Low,Active,10.27,2.41
POL000000003,CUST00074570,Term Life,Agent,AGT003370,2023-12-30,2028-12-28,8290365,17205,Annual,391,Low,Active,10.42,3.57
POL000000004,CUST00043802,Motor,Bancassurance,AGT003064,2021-01-26,2022-01-26,321823,26296,Monthly,360,Low,Active,13.19,4.92
POL000000005,CUST00015974,Commercial,Broker,AGT003426,2023-05-21,2024-05-20,7695457,24541,Monthly,345,Low,Active,10.85,3.05
POL000000006,CUST00095870,Home,Broker,AGT002977,2023-08-15,2024-08-14,2221956,15516,Annual,492,Medium,Cancelled,19.8,0.5
POL000000007,CUST00036618,Whole Life,Broker,AGT000196,2023-01-10,2024-01-10,2133015,33446,Annual,306,Low,Active,11.68,3.88
POL000000008,CUST00065718,Commercial,Corporate Partner,AGT004780,2021-06-02,2022-06-02,4160114,41411,Monthly,488,Medium,Active,6.34,2.68
POL000000009,CUST00095427,Term Life,Online,AGT001050,2024-12-11,2025-12-11,2895041,13486,Annual,498,Medium,Cancelled,14.14,0.32
POL000000010,CUST00069476,Term Life,Corporate Partner,AGT003840,2026-02-16,2027-02-16,3230956,11205,Annual,377,Low,Expired,4.75,3.09
POL000000011,CUST00002398,Whole Life,Direct,AGT002650,2023-04-29,2043-04-24,1272875,22147,Annual,335,Low,Active,0.16,1.66
POL000000012,CUST00015106,Whole Life,Broker,AGT003857,2019-05-20,2039-05-15,4683460,15673,Quarterly,423,Low,Active,11.97,1.27
POL000000013,CUST00036850,Whole Life,Broker,AGT003955,2021-06-17,2041-06-12,4120541,42524,Half-Yearly,374,Low,Active,14.09,2.07
POL000000014,CUST00015991,Health,Bancassurance,AGT001376,2025-09-27,2026-09-27,1096777,17687,Monthly,526,Medium,Active,3.74,1.24
POL000000015,CUST00002177,Term Life,Corporate Partner,AGT001637,2025-08-01,2026-08-01,8659074,22324,Half-Yearly,415,Low,Active,1.93,1.49
POL000000016,CUST00089822,Motor,Corporate Partner,AGT004568,2026-05-14,2027-05-14,461600,5637,Quarterly,407,Low,Active,17.27,0.35
POL000000017,CUST00092220,Whole Life,Broker,AGT001133,2019-09-09,2029-09-06,1552636,37189,Monthly,276,Low,Active,0.38,4.5
POL000000018,CUST00045305,Home,Corporate Partner,AGT000794,2024-10-03,2029-10-02,1843382,16698,Monthly,502,Medium,Active,15.59,1.94
POL000000019,CUST00084624,Motor,Bancassurance,AGT001192,2025-03-17,2030-03-16,345581,15202,Monthly,423,Low,Active,13.04,4.53
POL000000020,CUST00009722,Commercial,Direct,AGT003026,2023-03-16,2024-03-15,6914615,58108,Annual,439,Low,Active,3.52,0.6
POL000000021,CUST00060037,Health,Online,AGT000328,2023-01-07,2024-01-07,982645,23015,Half-Yearly,378,Low,Active,13.98,0.72
