PREMIUM_TXN_ID,POLICY_ID,CUSTOMER_ID,DUE_DATE,PAID_DATE,PREMIUM_AMOUNT,PAYMENT_STATUS,PAYMENT_METHOD,PAYMENT_DELAY_DAYS,CHANNEL_COST
PRM000000001,POL000067000,CUST00091358,2026-07-09,2026-07-11,3469,Paid,Net Banking,2,122.68
PRM000000002,POL000077006,CUST00080746,2026-07-13,,16283,Overdue,Auto Debit,,473.45
PRM000000003,POL000045385,CUST00051940,2025-05-01,2025-05-02,2224,Paid,Cheque,1,67.58
PRM000000004,POL000060166,CUST00098054,2026-01-05,2026-01-05,3840,Paid,UPI,0,105.3
PRM000000005,POL000072081,CUST00072564,2026-04-16,2026-04-29,22707,Paid,UPI,13,782.68
PRM000000006,POL000067715,CUST00087795,2025-04-11,2025-04-24,5909,Paid,Auto Debit,13,131.29
PRM000000007,POL000100268,CUST00031934,2026-06-22,2026-07-03,3491,Paid,Auto Debit,11,159.45
PRM000000008,POL000126499,CUST00073183,2025-09-04,2025-09-04,31474,Paid,Debit Card,0,1367.22
PRM000000009,POL000043953,CUST00094262,2025-07-02,,304,Overdue,Cheque,,13.87
PRM000000010,POL000078233,CUST00058494,2025-11-19,2025-11-27,1020,Paid,Credit Card,8,46.49
PRM000000011,POL000093691,CUST00030088,2026-06-12,2026-06-14,12894,Paid,Cheque,2,516.92
PRM000000012,POL000063835,CUST00020038,2025-09-21,2025-09-21,31515,Paid,Net Banking,0,478.37
PRM000000013,POL000128133,CUST00015875,2026-03-26,2026-04-08,7169,Paid,Net Banking,13,158.35
PRM000000014,POL000111186,CUST00044322,2025-10-11,,3642,Failed,Auto Debit,,122.74
PRM000000015,POL000104564,CUST00043358,2025-06-02,2025-06-11,20759,Paid,Cheque,9,350.3
PRM000000016,POL000148999,CUST00023729,2025-10-06,2025-10-23,15175,Paid,Debit Card,17,563.93
PRM000000017,POL000128196,CUST00020771,2026-08-14,2026-08-14,201,Paid,UPI,0,2.57
